,raw
1457,0.675
1458,0.67
1459,0.715
1460,0.61
1461,0.72
1462,0.69
1463,0.68
1464,0.73
1465,0.595
1466,0.67
1467,0.67
1468,0.725
1469,0.685
1470,0.635
1471,0.765
1472,0.745
1473,0.73
1474,0.755
1475,0.67
1476,0.685
1477,0.74
1478,0.76
1479,0.75
1480,0.64
1481,0.71
1482,0.75
1483,0.76
1484,0.775
1485,0.66
1486,0.745
1487,0.74
1488,0.775
1489,0.75
1490,0.63
1491,0.745
1492,0.765
1493,0.745
1494,0.76
1495,0.67
1496,0.725
1497,0.785
1498,0.745
1499,0.75
1500,0.735
1501,0.775
1502,0.77
1503,0.76
1504,0.775
1505,0.7
1506,0.745
1507,0.75
1508,0.79
1509,0.785
1510,0.7
1511,0.775
1512,0.79
1513,0.805
1514,0.76
1515,0.715
1516,0.735
1517,0.77
1518,0.8
1519,0.8
1520,0.75
1521,0.775
1522,0.815
1523,0.805
1524,0.785
1525,0.74
1526,0.79
1527,0.815
1528,0.79
1529,0.78
1530,0.74
1531,0.775
1532,0.79
1533,0.765
1534,0.8
1535,0.775
1536,0.83
1537,0.785
1538,0.79
1539,0.805
1540,0.77
1541,0.795
1542,0.805
1543,0.81
1544,0.84
1545,0.755
1546,0.795
1547,0.785
1548,0.805
1549,0.84
1550,0.775
1551,0.795
1552,0.79
1553,0.83
1554,0.825
1555,0.785
1556,0.815
1557,0.81
1558,0.825
1559,0.835
1560,0.79
1561,0.805
1562,0.795
1563,0.83
1564,0.795
1565,0.79
1566,0.825
1567,0.8
1568,0.84
1569,0.815
1570,0.765
1571,0.775
1572,0.81
1573,0.85
1574,0.835
1575,0.795
1576,0.795
1577,0.805
1578,0.82
1579,0.825
1580,0.765
1581,0.845
1582,0.79
1583,0.82
1584,0.825
1585,0.745
1586,0.82
1587,0.84
1588,0.86
1589,0.845
1590,0.775
1591,0.825
1592,0.83
1593,0.845
1594,0.85
1595,0.775
1596,0.795
1597,0.83
1598,0.84
1599,0.83
1600,0.5
1601,0.54
1602,0.525
1603,0.53
1604,0.535
1605,0.525
1606,0.545
1607,0.52
1608,0.57
1609,0.555
1610,0.55
1611,0.545
1612,0.54
1613,0.6
1614,0.605
1615,0.585
1616,0.595
1617,0.56
1618,0.645
1619,0.615
1620,0.545
1621,0.6
1622,0.605
1623,0.645
1624,0.67
1625,0.62
1626,0.62
1627,0.605
1628,0.685
1629,0.68
1630,0.575
1631,0.585
1632,0.68
1633,0.635
1634,0.69
1635,0.6
1636,0.69
1637,0.645
1638,0.685
1639,0.7
1640,0.62
